elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
3052,1.0,0:50:52,33.8,3.3120000000000003,37.961600000000004,08/12/19 20:16:46,27.0
3062,1.0,0:51:02,33.8,3.25,37.85,08/12/19 20:16:56,27.0
3072,1.0,0:51:12,33.8,3.25,37.85,08/12/19 20:17:06,27.0
3082,1.0,0:51:22,33.8,3.1870000000000003,37.7366,08/12/19 20:17:16,27.0
3092,1.0,0:51:32,33.8,3.1870000000000003,37.7366,08/12/19 20:17:26,27.0
3102,1.0,0:51:42,33.8,3.125,37.625,08/12/19 20:17:36,27.0
3112,1.0,0:51:52,33.8,3.125,37.625,08/12/19 20:17:46,27.0
3122,1.0,0:52:02,33.8,3.0620000000000003,37.5116,08/12/19 20:17:56,27.0
3132,1.0,0:52:12,33.8,3.0620000000000003,37.5116,08/12/19 20:18:06,27.0
3142,1.0,0:52:22,33.8,3.0,37.5116,08/12/19 20:18:16,27.0
3152,1.0,0:52:32,33.8,3.0,37.4,08/12/19 20:18:26,27.0
3162,1.0,0:52:42,33.8,2.9370000000000003,37.2866,08/12/19 20:18:36,27.0
3172,1.0,0:52:52,33.8,2.9370000000000003,37.2866,08/12/19 20:18:46,28.0
3182,1.0,0:53:02,33.8,2.875,37.175,08/12/19 20:18:56,28.0
3192,1.0,0:53:12,33.8,2.8120000000000003,37.175,08/12/19 20:19:06,28.0
